Ticker,Date,Open,High,Low,Close,Adj Close,Volume
MSFT,2023-04-26, 296.70 , 299.57 , 292.73 , 295.37 , 295.37 ," 64,599,200.00 "
MSFT,2023-04-27, 295.97 , 305.20 , 295.25 , 304.83 , 304.83 ," 46,462,600.00 "
MSFT,2023-04-28, 304.01 , 308.93 , 303.31 , 307.26 , 307.26 ," 36,446,700.00 "
MSFT,2023-05-01, 306.97 , 308.60 , 305.15 , 305.56 , 305.56 ," 21,294,100.00 "
MSFT,2023-05-02, 307.76 , 309.18 , 303.91 , 305.41 , 305.41 ," 26,404,400.00 "
MSFT,2023-05-03, 306.62 , 308.61 , 304.09 , 304.40 , 304.40 ," 22,360,800.00 "
MSFT,2023-05-04, 306.24 , 307.76 , 303.40 , 305.41 , 305.41 ," 22,519,900.00 "
MSFT,2023-05-05, 305.72 , 311.97 , 304.27 , 310.65 , 310.65 ," 28,181,200.00 "
NFLX,2023-02-07, 358.51 , 364.18 , 354.18 , 362.95 , 362.95 ," 6,289,400.00 "
NFLX,2023-02-08, 360.02 , 368.19 , 358.31 , 366.83 , 366.83 ," 6,253,200.00 "
NFLX,2023-02-09, 372.41 , 373.83 , 361.74 , 362.50 , 362.50 ," 6,901,100.00 "
NFLX,2023-02-10, 359.16 , 362.14 , 347.14 , 347.36 , 347.36 ," 7,291,100.00 "
NFLX,2023-02-13, 349.50 , 359.70 , 344.25 , 358.57 , 358.57 ," 7,134,400.00 "
NFLX,2023-02-14, 357.55 , 363.75 , 353.40 , 359.96 , 359.96 ," 4,624,800.00 "
NFLX,2023-02-15, 356.63 , 362.88 , 354.24 , 361.42 , 361.42 ," 3,966,000.00 "
NFLX,2023-02-16, 355.00 , 361.50 , 350.31 , 350.71 , 350.71 ," 5,215,700.00 "
NFLX,2023-02-17, 347.91 , 349.00 , 342.44 , 347.96 , 347.96 ," 5,294,700.00 "
NFLX,2023-02-21, 342.85 , 344.13 , 336.42 , 337.50 , 337.50 ," 5,710,300.00 "
NFLX,2023-02-22, 337.50 , 341.91 , 332.82 , 334.88 , 334.88 ," 4,546,200.00 "
NFLX,2023-02-23, 331.23 , 331.28 , 314.30 , 323.65 , 323.65 ," 13,238,700.00 "
